ability	source_sheet	trial	subject	value
Low ability	ppk_1	16	1	0.6234147150222222
Low ability	ppk_1	16	2	0.5930392969555556
Low ability	ppk_1	16	3	0.636611111688889
Low ability	ppk_1	16	4	0.7336857880222224
Low ability	ppk_1	16	5	0.48692904648888885
Low ability	ppk_1	16	6	0.5972528169555555
Low ability	ppk_1	16	7	0.6446985597111111
Low ability	ppk_1	16	8	0.6118035336666666
Low ability	ppk_1	16	9	0.7306689542000001
Low ability	ppk_1	16	10	0.872417129688889
Low ability	ppk_1	16	11	0.7430806071777778
Low ability	ppk_1	16	12	0.6803554825555556
Low ability	ppk_1	16	13	0.5192434350888889
Low ability	ppk_1	16	14	0.799506780488889
Low ability	ppk_1	16	15	0.5136125866222222
Low ability	ppk_1	16	16	0.6724636692444443
Low ability	ppk_1	16	17	0.736589623
Low ability	ppk_1	16	18	0.48686712086666667
Low ability	ppk_1	16	19	0.7441549646222222
Low ability	ppk_1	16	20	0.7233620154444443
Low ability	ppk_1	16	21	0.9607500342222223
Low ability	ppk_1	16	22	0.7270986671555555
Low ability	ppk_1	16	23	0.7085291118666667
Low ability	ppk_1	16	24	0.7001792480888889
Low ability	ppk_1	16	25	0.6995834609777778
Low ability	ppk_1	16	26	0.9535697844444444
Low ability	ppk_1	16	27	0.5158577014
Low ability	ppk_1	17	1	0.7523097952888889
Low ability	ppk_1	17	2	0.5191291265111112
Low ability	ppk_1	17	3	0.6806816329555555
Low ability	ppk_1	17	4	0.9048550233333333
Low ability	ppk_1	17	5	0.584151680511111
Low ability	ppk_1	17	6	0.48526486304444444
Low ability	ppk_1	17	7	0.8540727653333334
Low ability	ppk_1	17	8	0.5671512252222222
Low ability	ppk_1	17	9	0.5662956759111112
Low ability	ppk_1	17	10	0.7333299690444445
Low ability	ppk_1	17	11	0.5875626870444445
Low ability	ppk_1	17	12	0.4930255340888889
Low ability	ppk_1	17	13	0.6444928148666667
Low ability	ppk_1	17	14	0.5861071453777779
Low ability	ppk_1	17	15	0.4304972510444445
Low ability	ppk_1	17	16	0.6733005461777776
Low ability	ppk_1	17	17	0.8945558402222221
Low ability	ppk_1	17	18	0.5657299105555555
Low ability	ppk_1	17	19	0.6776259863999999
Low ability	ppk_1	17	20	0.8873049775555555
Low ability	ppk_1	17	21	0.9868254293333333
Low ability	ppk_1	17	22	0.6856633773333334
Low ability	ppk_1	17	23	0.8693670156
Low ability	ppk_1	17	24	0.7190247672444444
Low ability	ppk_1	17	25	0.8675050495555555
Low ability	ppk_1	17	26	0.9786720395555556
Low ability	ppk_1	17	27	0.4441565536222222
Low ability	ppk_1	18	1	0.7853169032444445
Low ability	ppk_1	18	2	0.6852371152666668
Low ability	ppk_1	18	3	0.7166977716222224
Low ability	ppk_1	18	4	0.98046197
Low ability	ppk_1	18	5	0.6660986607333332
Low ability	ppk_1	18	6	0.47795700893333337
Low ability	ppk_1	18	7	0.7985518388
Low ability	ppk_1	18	8	0.6468597378222222
Low ability	ppk_1	18	9	0.4913273374666667
Low ability	ppk_1	18	10	0.5103009522
Low ability	ppk_1	18	11	0.5395895059333333
Low ability	ppk_1	18	12	0.45969586204444446
Low ability	ppk_1	18	13	0.6921642488666667
Low ability	ppk_1	18	14	0.5374800487111111
Low ability	ppk_1	18	15	0.4520669863777778
Low ability	ppk_1	18	16	0.5564920968444445
Low ability	ppk_1	18	17	0.8281930733777778
Low ability	ppk_1	18	18	0.46127408268888886
Low ability	ppk_1	18	19	0.6757709124
Low ability	ppk_1	18	20	0.9650395891111111
Low ability	ppk_1	18	21	0.8491118588222223
Low ability	ppk_1	18	22	0.7360335724222223
Low ability	ppk_1	18	23	0.8161082962666666
Low ability	ppk_1	18	24	0.7730926005777778
Low ability	ppk_1	18	25	0.8136398395333333
Low ability	ppk_1	18	26	0.8509753066888889
Low ability	ppk_1	18	27	0.4727623671777778
Low ability	ppk_1	19	1	0.7930451550222223
Low ability	ppk_1	19	2	0.7224693664666667
Low ability	ppk_1	19	3	0.7343154860666666
Low ability	ppk_1	19	4	0.8211125669777778
Low ability	ppk_1	19	5	0.7279146830444444
Low ability	ppk_1	19	6	0.6112315653555555
Low ability	ppk_1	19	7	0.8076776239111112
Low ability	ppk_1	19	8	0.5989276475111112
Low ability	ppk_1	19	9	0.6607847999333333
